Batch,Trade,Time
95,960,41
95,642,34
95,1594,26
95,1815,21
95,1010,19
95,1653,18
95,797,12
95,695,9
95,183,6
95,1470,6
95,459,4
95,1033,3
95,1541,2
,Total Calculation Time,398

96,124,76
96,748,68
96,1673,53
96,962,41
96,663,34
96,1614,26
96,1834,21
96,1032,19
96,1693,18
96,823,12
96,758,9
96,193,6
96,1471,6
96,464,4
96,1062,3
96,1552,2
,Total Calculation Time,398

97,132,76
97,803,68
97,1755,53
97,1138,41
97,731,34
97,1651,26
97,1849,21
97,1034,19
97,1694,18
97,831,12
97,782,9
97,215,6
97,1489,6
97,498,4
97,1099,3
97,1560,2
,Total Calculation Time,398

98,160,76
98,805,68
98,1770,53
98,1218,41
98,744,34
98,1782,26
98,1851,21
98,1112,19
98,1752,18
98,854,12
98,855,9
98,219,6
98,1506,6
98,521,4
98,1101,3
98,1574,2
,Total Calculation Time,398

99,182,76
99,850,68
99,1777,53
99,1221,41
99,794,34
99,1801,26
99,1894,21
99,1153,19
99,1778,18
99,873,12
99,864,9
99,221,6
99,1509,6
99,540,4
99,1110,3
99,1575,2
,Total Calculation Time,398

100,523,76
100,944,68
100,1830,53
100,1314,41
100,871,34
100,1841,26
100,1929,21
100,1198,19
100,1823,18
100,968,12
100,888,9
100,237,6
100,1537,6
100,547,4
100,1127,3
100,1583,2
,Total Calculation Time,398

101,756,76
101,1180,68
101,1984,53
101,1416,41
101,988,34
101,20,25
101,47,23
101,1936,19
101,1299,15
101,324,13
101,1745,12
101,945,6
101,1355,5
101,1979,4
101,526,2
101,1584,2
,Total Calculation Time,398

102,1216,76
102,1188,68
102,2,52
102,1598,43
102,1828,32
102,333,26
102,148,23
102,1967,19
102,1420,15
102,350,13
102,1766,12
102,948,6
102,1366,5
102,1991,4
102,548,2
102,1588,2
,Total Calculation Time,398

103,93,75
103,1148,69
103,776,52
103,1948,43
103,1923,32
103,393,26
103,233,23
103,1977,19
103,1457,15
103,376,13
103,1773,12
103,955,6
103,1386,5
103,62,3
103,1142,3
103,1608,2
,Total Calculation Time,398

104,594,75
104,1453,69
104,952,52
104,88,42
104,1015,34
104,114,25
104,355,23
104,0,18
104,1838,18
104,994,12
104,908,9
104,256,6
104,1543,6
104,561,4
104,1146,3
104,1620,2
,Total Calculation Time,398

105,974,75
105,1852,69
105,1014,52
105,223,42
105,1066,34
105,178,25
105,363,23
105,104,18
105,1848,18
105,1002,12
105,923,9
105,259,6
105,1553,6
105,585,4
105,1175,3
105,1628,2
,Total Calculation Time,398

106,1164,75
106,1860,69
106,1041,52
106,270,42
106,1161,34
106,269,25
106,614,23
106,140,18
106,1853,18
106,1087,12
106,935,9
106,260,6
106,1556,6
106,593,4
106,1199,3
106,1650,2
,Total Calculation Time,398

107,1295,75
107,155,68
107,1039,54
107,1439,41
107,1197,34
107,365,25
107,652,23
107,165,18
107,1864,18
107,1131,12
107,946,9
107,271,6
107,1589,6
107,609,4
107,1206,3
107,1667,2
,Total Calculation Time,398

108,1393,75
108,194,68
108,1083,54
108,1495,41
108,1292,34
108,370,25
108,883,23
108,174,18
108,1865,18
108,1151,12
108,979,9
108,281,6
108,1599,6
108,624,4
108,1208,3
108,1681,2
,Total Calculation Time,398

109,1761,75
109,213,68
109,1549,54
109,1526,41
109,1532,34
109,417,25
109,915,23
109,176,18
109,1886,18
109,1155,12
109,1005,9
109,292,6
109,1606,6
109,643,4
109,1212,3
109,1682,2
,Total Calculation Time,398

110,874,74
110,245,69
110,1593,54
110,1636,41
110,1534,34
110,528,25
110,973,23
110,242,18
110,1983,18
110,1168,12
110,1043,9
110,298,6
110,1615,6
110,654,4
110,1244,3
110,1700,2
,Total Calculation Time,398

111,901,74
111,253,69
111,1630,54
111,1814,41
111,1802,34
111,579,25
111,1052,23
111,247,18
111,1993,18
111,1209,12
111,1044,9
111,318,6
111,1617,6
111,674,4
111,1270,3
111,1718,2
,Total Calculation Time,398

112,1580,74
112,656,69
112,1874,54
112,1881,41
112,1880,34
112,612,25
112,1134,23
112,280,18
112,267,17
112,1899,13
112,1051,9
112,320,6
112,1624,6
112,696,4
112,1296,3
112,1721,2
,Total Calculation Time,398

113,1643,74
113,1042,69
113,159,53
113,295,42
113,1921,34
113,650,25
113,1215,23
113,293,18
113,288,17
113,1901,13
113,1091,9
113,322,6
113,1626,6
113,785,4
113,1302,3
113,1728,2
,Total Calculation Time,398

114,116,73
114,1429,70
114,265,53
114,353,42
114,240,33
114,398,26
114,1227,23
114,335,18
114,358,17
114,1944,13
114,1096,9
114,327,6
114,1646,6
114,793,4
114,1308,3
114,1744,2
,Total Calculation Time,398

115,214,73
115,1530,70
115,565,53
115,379,42
115,331,33
115,414,26
115,1387,23
115,343,18
115,602,17
115,1959,13
115,1120,9
115,336,6
115,1654,6
115,845,4
115,1311,3
115,1757,2
,Total Calculation Time,398

116,720,73
116,1579,70
116,925,53
116,534,42
116,494,33
116,605,26
116,1481,23
116,371,18
116,676,17
116,1988,13
116,1251,9
116,337,6
116,1698,6
116,869,4
116,1312,3
116,1764,2
,Total Calculation Time,398

117,1054,73
117,1645,70
117,1115,53
117,703,42
117,742,33
117,622,26
117,1582,23
117,374,18
117,868,17
117,17,12
117,1831,12
117,1004,6
117,1444,5
117,84,3
117,1322,3
117,1798,2
,Total Calculation Time,398

118,1361,73
118,1768,70
118,1426,53
118,745,42
118,804,33
118,733,26
118,1647,23
118,375,18
118,940,17
118,33,12
118,1850,12
118,1026,6
118,1522,5
118,92,3
118,1333,3
118,1816,2
,Total Calculation Time,398

119,1709,73
119,203,69
119,108,54
119,1122,42
119,852,33
119,860,26
119,1749,23
119,380,18
119,1472,17
119,48,12
119,1890,12
119,1036,6
119,1524,5
119,126,3
119,1353,3
119,1840,2
,Total Calculation Time,398

120,235,72
120,718,70
120,118,54
120,1243,42
120,858,33
120,881,26
120,1893,23
120,413,18
